,,,RA,,,,DEC,F60,,,,,,,F100,T,B,,M,
4,39,5.05,69.7710416666667,45,10,20.1,45.17225,4.7408,4,39,5.05,45,10,20.1,22.852,23.2616695950079,8.18563374337592E-16,8.18563374337592,2.69030889559678E+028,2.69030889559678
4,39,5.09,69.7712083333333,45,8,45.1,45.1458611111111,4.6722,4,39,5.47,45,8,45.1,22.651,23.2293541712182,8.11534218670259E-16,8.11534218670259,2.71202593136459E+028,2.71202593136459
4,39,5.88,69.7745,45,7,10.1,45.1194722222222,4.6436,4,39,6.25,45,7,14.1,22.59,23.2100150957864,8.07347328706178E-16,8.07347328706178,2.72449698493677E+028,2.72449698493677
4,39,7.04,69.7793333333333,45,5,43,45.0952777777778,4.6146,4,39,7.04,45,5,39.1,22.402,23.2217622930704,8.09888828898507E-16,8.09888828898507,2.71449090691282E+028,2.71449090691282
4,39,7.07,69.7794583333333,45,4,19.9,45.0721944444445,4.5493,4,39,7.07,45,4,19.9,22.041,23.2329687683926,8.1231840929753E-16,8.1231840929753,2.70498674286179E+028,2.70498674286179
4,39,6.74,69.7780833333333,45,2,48.8,45.0468888888889,4.4431,4,39,7.11,45,2,52.7,21.625,23.2073200957717,8.06765032721928E-16,8.06765032721928,2.72207739574809E+028,2.72207739574809
4,39,7.52,69.7813333333334,45,1,17.7,45.0215833333333,4.3475,4,39,7.89,45,1,21.7,21.417,23.1397109539485,7.92250379789845E-16,7.92250379789845,2.77039083396145E+028,2.77039083396145
4,39,9.79,69.7907916666667,44,59,58.6,44.9996111111111,4.3627,4,39,10.17,44,59,58.6,21.506,23.1360481765479,7.91469153650781E-16,7.91469153650781,2.77177198177447E+028,2.77177198177447
4,39,12.05,69.8002083333333,44,59,19.1,44.9886388888889,4.3002,4,39,12.05,44,59,15.2,21.455,23.0690246863522,7.77266372212701E-16,7.77266372212701,2.82173164453029E+028,2.82173164453029
4,39,11.7,69.79875,44,58,7.8,44.9688333333333,4.4634,4,39,11.71,44,58,3.9,22.217,23.082055100096,7.80013896334222E-16,7.80013896334222,2.8105545172127E+028,2.8105545172127
4,39,10.99,69.7957916666667,44,56,44.6,44.9457222222222,4.7208,4,39,10.99,44,56,44.6,23.359,23.115084131079,7.87007870460183E-16,7.87007870460183,2.78414609860861E+028,2.78414609860861
4,38,57.16,69.7381666666667,45,11,31,45.1919444444444,4.7603,4,38,57.16,45,11,31,23.069,23.231574145506,8.12015783397959E-16,8.12015783397959,2.71318426899782E+028,2.71318426899782
4,38,56.08,69.7336666666667,45,9,55.9,45.1655277777778,4.5987,4,38,56.45,45,9,55.9,22.678,23.1339250932576,7.91016565943906E-16,7.91016565943906,2.78358343925096E+028,2.78358343925096
4,38,56.87,69.7369583333333,45,8,28.8,45.1413333333333,4.5305,4,38,56.87,45,8,24.9,22.534,23.0862403178429,7.80897772291727E-16,7.80897772291727,2.81814238690263E+028,2.81814238690263
4,38,57.28,69.7386666666667,45,7,5.7,45.11825,4.5194,4,38,57.65,45,7,1.8,22.465,23.0896478057957,7.81617903617555E-16,7.81617903617555,2.81410618696181E+028,2.81410618696181
4,38,58.82,69.7450833333333,45,5,34.7,45.0929722222222,4.5562,4,38,58.82,45,5,34.7,22.507,23.1243638879552,7.88980543055504E-16,7.88980543055504,2.78628349339095E+028,2.78628349339095
4,38,59.98,69.7499166666667,45,3,47.8,45.0632777777778,4.5482,4,38,59.98,45,3,47.8,22.161,23.2011240718915,8.05427370441852E-16,8.05427370441852,2.72759023734997E+028,2.72759023734997
4,39,0.01,69.7500416666667,45,2,40.5,45.0445833333333,4.3988,4,39,0.02,45,2,36.6,21.752,23.1185918395414,7.87753136751696E-16,7.87753136751696,2.78763023448476E+028,2.78763023448476
4,39,0.8,69.7533333333333,45,1,9.5,45.0193055555556,4.2821,4,39,0.8,45,1,9.5,21.375,23.0663514232633,7.76703519161821E-16,7.76703519161821,2.82570130363202E+028,2.82570130363202
4,39,1.2,69.755,45,0,10.1,45.0028055555556,4.2892,4,39,1.58,45,0,10.1,21.426,23.0623260586805,7.75856506941274E-16,7.75856506941274,2.82774938016988E+028,2.82774938016988
4,39,1.97,69.7582083333333,44,59,22.6,44.9896111111111,4.2333,4,39,1.97,44,59,22.6,21.121,23.0690812846294,7.77278291933313E-16,7.77278291933313,2.82174935050004E+028,2.82174935050004
4,39,1.99,69.7582916666667,44,58,27.2,44.9742222222222,4.4038,4,39,2.74,44,58,27.2,21.594,23.1655993619686,7.97787041889194E-16,7.97787041889194,2.74827012466887E+028,2.74827012466887
4,39,3.52,69.7646666666667,44,56,56.2,44.9489444444444,4.6019,4,39,3.15,44,56,56.2,22.29,23.2344425185141,8.12638288707192E-16,8.12638288707192,2.69652809723009E+028,2.69652809723009
4,38,46.66,69.6944166666667,45,11,38.4,45.194,4.6977,4,38,46.66,45,11,38.4,22.986,23.1775424351562,8.00350119888999E-16,8.00350119888999,2.75285603781038E+028,2.75285603781038
4,38,47.83,69.6992916666667,45,10,7.4,45.1687222222222,4.5335,4,38,47.84,45,10,3.4,22.431,23.1153869618508,7.87072192532362E-16,7.87072192532362,2.7977310926533E+028,2.7977310926533
4,38,48.25,69.7010416666667,45,8,40.3,45.1445277777778,4.5008,4,38,48.25,45,8,36.3,22.329,23.1004719972594,7.83908468331432E-16,7.83908468331432,2.80751762854872E+028,2.80751762854872
4,38,49.05,69.704375,45,6,57.3,45.1159166666667,4.5262,4,38,49.05,45,6,57.3,22.263,23.1483072753372,7.9408593345694E-16,7.9408593345694,2.76977834969355E+028,2.76977834969355
4,38,49.1,69.7045833333333,45,5,26.3,45.0906388888889,4.5752,4,38,49.47,45,5,26.3,22.279,23.2045355502382,8.06163689175041E-16,8.06163689175041,2.72675356272444E+028,2.72675356272444
4,38,51,69.7125,45,4,15.1,45.0708611111111,4.4899,4,38,51,45,4,15.1,22.034,23.1610801759298,7.96818647697357E-16,7.96818647697357,2.75752272272702E+028,2.75752272272702
4,38,51.43,69.7142916666667,45,2,32.2,45.0422777777778,4.4029,4,38,51.8,45,2,32.2,21.654,23.1489580770613,7.94225015529295E-16,7.94225015529295,2.76477323233488E+028,2.76477323233488
4,38,51.46,69.7144166666667,45,1,13,45.0202777777778,4.2941,4,38,51.84,45,1,13,21.301,23.1011340021449,7.84048706989958E-16,7.84048706989958,2.79928979383933E+028,2.79928979383933
4,38,51.5,69.7145833333333,45,0,1.7,45.0004722222222,4.3521,4,38,51.87,44,59,57.7,21.263,23.1859522046219,8.02158281576664E-16,8.02158281576664,2.73488917943588E+028,2.73488917943588
4,38,53.76,69.724,44,59,22.2,44.9895,4.228,4,38,53.76,44,59,18.2,20.951,23.1069986756618,7.85291822163591E-16,7.85291822163591,2.79294784021811E+028,2.79294784021811
4,38,54.9,69.72875,44,58,34.7,44.9763055555556,4.3793,4,38,54.9,44,58,26.8,21.432,23.1765132406569,8.00129026251667E-16,8.00129026251667,2.74035285001615E+028,2.74035285001615
4,38,54.57,69.727375,44,57,3.6,44.951,4.466,4,38,54.94,44,56,59.7,21.866,23.1740318272037,7.99596134942311E-16,7.99596134942311,2.74063629478079E+028,2.74063629478079
4,38,54.62,69.7275833333333,44,55,16.7,44.9213055555556,4.5831,4,38,54.62,44,55,16.7,22.692,23.1115630140381,7.86260238633216E-16,7.86260238633216,2.78527954203265E+028,2.78527954203265
